"symbol","date","open","high","low","close","volume","adjusted"
"AAPL",2011-06-02,12.375,12.427857,12.296429,12.360714,338783200,10.520429
"AAPL",2011-06-03,12.256429,12.333214,12.214643,12.265714,313250000,10.439575
"AAPL",2011-06-06,12.346429,12.394643,12.064643,12.072857,461941200,10.275428
"AAPL",2011-06-07,12.0775,12.079286,11.853571,11.858571,529785200,10.093044
"AAPL",2011-06-08,11.849286,11.957143,11.808929,11.865714,333723600,10.099127
"AAPL",2011-06-09,11.901786,11.916786,11.8125,11.838929,275088800,10.07633
"AAPL",2011-06-10,11.805357,11.845,11.625357,11.639286,433955200,9.906411
"AAPL",2011-06-13,11.685714,11.725357,11.609643,11.664286,329473200,9.927687
"AAPL",2011-06-14,11.785714,11.901786,11.761071,11.872857,334569200,10.105205
"AAPL",2011-06-15,11.776786,11.796429,11.602857,11.669643,399196000,9.932247
"AAPL",2011-06-16,11.675,11.738571,11.368929,11.612857,510591200,9.883916
"AAPL",2011-06-17,11.749643,11.758929,11.405714,11.437857,615020000,9.734968
"AAPL",2011-06-20,11.334286,11.346429,11.089286,11.261429,640645600,9.584812
"AAPL",2011-06-21,11.31,11.635714,11.257143,11.617857,493382400,9.88817
"AAPL",2011-06-22,11.612857,11.746429,11.513571,11.521786,390583200,9.806402
"AAPL",2011-06-23,11.390714,11.846071,11.361429,11.829643,559759200,10.068428
"AAPL",2011-06-24,11.834643,11.898214,11.610357,11.655357,439807200,9.920089
"AAPL",2011-06-27,11.699643,11.925,11.6875,11.858571,339813600,10.093044
"AAPL",2011-06-28,11.916071,12.025,11.908571,11.973571,294299600,10.190928
"AAPL",2011-06-29,12.001429,12.013214,11.852857,11.93,352545200,10.153842
"AAPL",2011-06-30,11.953571,12.004643,11.887143,11.988214,322954800,10.203389
"AAPL",2011-07-01,11.998214,12.267857,11.935714,12.259286,435313200,10.434104
"AAPL",2011-07-05,12.25,12.493929,12.232143,12.479643,355054000,10.621655
"AAPL",2011-07-06,12.4625,12.646429,12.3825,12.562857,444626000,10.692477
"AAPL",2011-07-07,12.666786,12.785714,12.642857,12.757143,399663600,10.857835
"AAPL",2011-07-08,12.619286,12.857143,12.578571,12.846786,489633200,10.934135
"AAPL",2011-07-11,12.726429,12.848929,12.600714,12.642857,442674400,10.76057
"AAPL",2011-07-12,12.626071,12.774286,12.450714,12.633929,451609200,10.752969
"AAPL",2011-07-13,12.7975,12.857143,12.727857,12.786429,391638800,10.882766
"AAPL",2011-07-14,12.893214,12.914643,12.726429,12.7775,430533600,10.875167
"AAPL",2011-07-15,12.898929,13.035714,12.8275,13.032857,484467200,11.092503
"AAPL",2011-07-18,13.051071,13.380357,13.045714,13.35,572653200,11.36243
"AAPL",2011-07-19,13.5,13.523214,13.332857,13.458929,819145600,11.45514
"AAPL",2011-07-20,14.147143,14.1525,13.785714,13.817857,941340400,11.760632
"AAPL",2011-07-21,13.819643,13.930714,13.710714,13.831786,526534400,11.772487
"AAPL",2011-07-22,13.868571,14.108929,13.848214,14.046429,516728800,11.955173
"AAPL",2011-07-25,13.941071,14.285714,13.915,14.232143,589806000,12.113239
"AAPL",2011-07-26,14.285714,14.446429,14.274286,14.4075,476582400,12.262488
"AAPL",2011-07-27,14.306786,14.38,14.005357,14.021071,659324400,11.933589
"AAPL",2011-07-28,13.986429,14.178214,13.861786,13.993571,594034000,11.910184
"AAPL",2011-07-29,13.844286,14.1125,13.714286,13.945714,632584400,11.869453
"AAPL",2011-08-01,14.206429,14.267857,14.013214,14.169643,612836000,12.060043
"AAPL",2011-08-02,14.201786,14.210714,13.869643,13.889643,639539600,11.821731
"AAPL",2011-08-03,13.963571,14.055357,13.651429,14.020357,732508000,11.932981
